"runID","decadeOfBirth","regionGrewUp","goldsmithMSI","stimuliOrder","BlueOrchid","BORecognition","GoldOnTheCeiling","GOTCRecognition","GoodTimesBadTimes","GTBTRecognition","Bitch","BRecognition","SaveYourTears","SYTRecognition","87Stingray","87SRecognition","ThatWasYesterday","TWYRecognition","CryWolf","CWRecognition","Touch","TRecognition","TakeBackTheNight","TBTNRecognition","YouShouldBeDancing","YSBDRecognition","Fantasy","FRecognition","TearsDryOnTheirOwn","TDOTORecognition","TroubleSleeping","TSRecognition","HoneyLove","HLRecognition","ICantSeeMyselfLeavingYou","ICSMLYRecognition"
"10","1960","Europe","4.33","","2001","0","2000","1","1997","0","1974","0","2011","0","1987","1","1982","0","1982","1","1971","1","1982","1","1966","0","2012","1","1971","0","1986","1","1981","0","1966","1"
"12","2000","Europe","4.75","","1973","0","2002","0","1985","0","1968","0","2014","0","2013","0","2009","0","1993","0","1964","0","2019","0","1978","0","1982","0","1969","0","1996","0","1978","0","1977","0"
"14","2000","Europe","5.17","","1995","0","1975","0","1994","0","1975","0","1982","0","2015","0","2005","0","1995","0","2013","2","1980","0","1975","0","1980","0","1975","0","2010","0","1970","0","2000","0"
"15","1990","","4.92","","1982","0","1993","0","2001","0","1978","2","2008","0","2014","0","2012","2","1985","0","1992","0","1978","0","1990","0","1972","1","2018","0","2004","0","2010","0","2002","0"
"17","1990","Europe","5.08","","1986","0","1992","0","1968","0","1989","0","1992","0","1998","0","1979","0","1995","0","1972","0","1973","0","1981","0","1975","0","1970","0","1983","2","1964","0","1966","0"
"2","2000","Europe, EastAsia","5.58","","2005","0","1976","0","2013","0","1967","0","2006","0","2019","0","2010","0","1986","0","2015","0","2012","0","1985","1","2012","0","2007","0","2015","1","1966","0","1976","0"
"28","2000","Europe","3.67","","1990","0","1986","1","2005","0","2001","0","2011","0","1977","0","1973","0","1994","0","1968","0","1985","0","2005","0","1998","0","1981","0","1974","0","1964","0","1992","0"
"30","2000","Europe","4.25","","1991","0","2010","1","1987","0","2006","0","1998","0","1997","0","2018","0","2001","0","1988","0","2010","0","1992","0","2006","0","1985","0","1984","0","2019","1","1996","0"
"33","2000","Europe","3.75","","1984","0","1983","0","2009","0","1983","0","2016","0","2017","0","1986","0","1991","0","1968","0","1977","0","1996","0","2008","0","2014","0","2003","0","2002","0","2005","0"
"37","2000","Europe","3.92 ","","1973","0","1995","0","2014","0","1988","0","2004","0","1994","0","2005","1","2009","0","2006","1","2011","1","1992","0","1983","0","2002","0","1978","0","1992","1","1998","0"
"39","2000","Europe","4.33","","1981","0","1997","0","2017","0","1976","0","1986","1","2010","0","2011","0","1987","0","1991","0","2007","0","1988","0","1974","1","2004","0","2020","0","1995","0","1975","0"
